Name;Status;Score;Eps watched;Start date;Finish date;Season;Year
Shingeki no Kyojin;PTW;;0;;;Spring 2013;2013
Sono Bisque Doll wa Koi wo Suru;PTW;;0;;;Winter 2022;2022
Tomodachi no Imouto ga Ore ni dake Uzai;PTW;;0;;;;
Tonikaku Kawaii 2nd Season;PTW;;0;;;;
Tsurezure Children;PTW;;0;;;Summer 2017;2017
Watashi ni Tenshi ga Maiorita!;PTW;;0;;;Winter 2019;2019
Working!!!;PTW;;0;;;Summer 2015;2015
Yahari Ore no Seishun Love Comedy wa Machigatteiru.;PTW;;0;;;Spring 2013;2013
Yakusoku no Neverland;PTW;;0;;;Winter 2019;2019
Yesterday wo Utatte;PTW;;0;;;Spring 2020;2020
Yojouhan Shinwa Taikei;PTW;;0;;;Spring 2010;2010
Yosuga no Sora: In Solitude, Where We Are Least Alone.;PTW;;0;;;Fall 2010;2010
